Name,Sarah Carter,Zoe Russell,Lydia Sanchez,Nia Kowalski,Layla Mitchell,Aubrey Weber,Arianna Ramos,Matthew Lopez,Naomi Green,Sarah Garcia,Emma Wang,Addison Campbell,Lena Singh,Adrian Bryant,Zara Thompson,Noah Thompson,Ava Perez,Naomi Ortiz,Owen Lin,Abigail Wang,Imani Smith,Kayla Kim,Wyatt Reed,Scarlett Griffin,Zara Hayes,Ella Gonzalez,Victoria Clark,Madison Khan,Luke Allen,Zoey Ramos,Samantha Kim,Owen Mitchell,Aiden Patel,Ryan Morales,Alexander Flores,Noah Kim,Emma Anderson,Henry Perez,Nadia Tanaka,Lena Torres,Carter Flores,Evelyn Bauer,Gabriella Hill,Nadia Foster,Amara Klein,Luke Simmons
Claire Patel,0.05,0.05,0.05,0.13,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.15,0.05,0.05,0.05,0.09,0.0,0.15,0.05,0.05,0.15,0.15,0.15,0.13,0.05,0.05,0.15,0.05,0.05,0.05,0.15,0.15,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.15,0.15
Harper Malik,0.15,0.15,0.05,0.23,0.19,0.05,0.15,0.15,0.05,0.05,0.15,0.0,0.05,0.15,0.15,0.15,0.19,0.0,0.05,0.15,0.15,0.13,0.05,0.13,0.23,0.15,0.15,0.05,0.15,0.15,0.15,0.13,0.05,0.05,0.15,0.15,0.09,0.15,0.05,0.15,0.15,0.15,0.15,0.15,0.13,0.05
Jocelyn Taylor,0.13,0.13,0.13,0.05,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.0,0.27,0.13,0.13,0.13,0.13,0.0,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.05,0.13,0.13,0.13,0.13,0.13,0.15,0.23,0.23,0.13,0.13,0.15,0.17,0.27,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Kaylee Nguyen,0.13,0.13,0.13,0.05,0.13,0.27,0.13,0.13,0.23,0.23,0.13,0.0,0.23,0.13,0.13,0.13,0.13,0.0,0.15,0.13,0.13,0.19,0.23,0.15,0.09,0.05,0.13,0.23,0.13,0.13,0.17,0.15,0.27,0.23,0.13,0.17,0.15,0.17,0.23,0.13,0.13,0.13,0.05,0.13,0.19,0.23
Oliver Petrov,0.05,0.05,0.05,0.17,0.05,0.15,0.05,0.05,0.15,0.15,0.05,0.0,0.15,0.05,0.05,0.05,0.09,0.0,0.23,0.05,0.05,0.23,0.15,0.23,0.13,0.13,0.05,0.05,0.05,0.05,0.05,0.23,0.15,0.19,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.05,0.13,0.05,0.23,0.15
Nathan Tanaka,0.13,0.17,0.17,0.05,0.13,0.23,0.17,0.17,0.27,0.27,0.13,0.0,0.23,0.17,0.17,0.17,0.13,0.0,0.19,0.17,0.17,0.15,0.27,0.15,0.05,0.05,0.17,0.17,0.17,0.17,0.13,0.15,0.23,0.23,0.17,0.13,0.15,0.13,0.23,0.13,0.17,0.17,0.09,0.17,0.15,0.23
Jackson Foster,0.05,0.05,0.05,0.13,0.05,0.19,0.05,0.05,0.15,0.15,0.05,0.17,0.15,0.05,0.05,0.05,0.05,0.23,0.15,0.05,0.05,0.27,0.15,0.23,0.17,0.05,0.05,0.15,0.05,0.05,0.09,0.23,0.19,0.15,0.05,0.09,0.15,0.09,0.15,0.05,0.05,0.05,0.13,0.05,0.27,0.15
Aisha Diallo,0.13,0.13,0.13,0.05,0.13,0.27,0.13,0.13,0.23,0.23,0.13,0.0,0.23,0.13,0.13,0.13,0.13,0.0,0.15,0.13,0.13,0.19,0.23,0.15,0.09,0.05,0.13,0.13,0.13,0.13,0.17,0.15,0.27,0.23,0.13,0.17,0.15,0.17,0.23,0.13,0.13,0.13,0.05,0.13,0.19,0.23
Ava Wilson,0.13,0.13,0.23,0.05,0.13,0.23,0.13,0.13,0.23,0.23,0.13,0.05,0.23,0.13,0.13,0.13,0.13,0.15,0.15,0.13,0.13,0.15,0.23,0.15,0.05,0.09,0.13,0.13,0.13,0.13,0.13,0.15,0.23,0.23,0.13,0.13,0.19,0.13,0.23,0.13,0.13,0.13,0.05,0.13,0.15,0.23
Sarah Thompson,0.05,0.09,0.09,0.13,0.05,0.15,0.09,0.09,0.19,0.19,0.05,0.05,0.15,0.09,0.09,0.09,0.05,0.27,0.19,0.09,0.09,0.15,0.19,0.15,0.13,0.05,0.09,0.19,0.09,0.09,0.05,0.15,0.15,0.15,0.09,0.05,0.15,0.05,0.15,0.05,0.09,0.09,0.17,0.09,0.15,0.15
